iter	Passed	Remaining
307	566	1272
308	568	1270
309	569	1268
310	571	1265
311	572	1263
312	574	1260
313	575	1258
314	577	1255
315	579	1253
316	580	1251
317	582	1248
318	583	1246
319	585	1243
320	586	1241
321	588	1239
322	590	1236
323	591	1234
324	593	1232
325	594	1229
326	596	1227
327	597	1224
328	599	1222
329	601	1220
330	602	1217
331	604	1215
332	605	1212
333	607	1210
334	608	1208
335	610	1206
336	611	1203
337	613	1201
338	615	1199
339	616	1196
340	618	1194
341	619	1192
342	621	1189
343	622	1187
344	624	1185
345	625	1182
346	627	1180
347	628	1178
348	630	1175
349	631	1173
350	633	1171
351	634	1168
352	636	1166
353	638	1164
354	639	1162
355	641	1159
356	642	1157
357	644	1155
358	645	1152
359	647	1150
360	649	1149
361	650	1146
362	652	1144
363	653	1142
364	655	1140
365	656	1138
366	658	1135
367	659	1133
368	661	1130
369	663	1129
370	664	1126
371	666	1124
372	667	1122
373	669	1119
374	670	1117
375	671	1115
376	673	1112
377	674	1110
378	676	1108
379	677	1106
380	679	1103
381	680	1101
382	682	1099
383	683	1097
384	685	1095
385	687	1093
386	688	1091
387	690	1089
388	692	1086
389	693	1084
390	695	1082
391	696	1080
392	698	1078
393	699	1076
394	701	1074
395	703	1072
396	704	1070
397	706	1068
398	707	1065
399	709	1063
400	710	1061
401	712	1059
402	713	1057
403	716	1056
404	717	1054
405	719	1052
406	721	1050
407	722	1048
408	724	1046
409	725	1044
410	727	1042
411	728	1039
412	730	1037
413	731	1035
414	733	1033
415	734	1031
416	736	1029
417	737	1027
418	739	1025
419	740	1022
420	742	1020
421	743	1018
422	745	1016
423	746	1014
424	748	1012
425	749	1010
426	751	1008
427	753	1006
428	754	1004
429	756	1002
430	757	1000
431	759	998
432	760	996
433	762	994
434	763	992
435	765	989
436	766	987
437	768	985
438	769	983
439	771	981
440	772	979
441	774	977
442	775	975
443	777	973
444	778	971
445	780	969
446	781	967
447	783	965
448	784	963
449	786	961
450	788	959
451	789	957
452	791	955
453	792	953
454	794	951
455	795	949
456	797	947
457	798	945
458	800	943
459	802	941
460	803	939
461	805	937
462	806	935
463	808	933
464	809	931
465	811	929
466	812	927
467	814	925
468	815	923
469	817	921
470	818	919
471	820	917
472	821	915
473	823	913
474	825	912
475	827	910
476	828	908
477	830	906
478	831	904
479	833	902
480	834	900
481	836	898
482	837	896
483	839	894
484	840	892
485	842	890
486	843	888
487	845	886
488	846	884
489	848	882
490	849	881
491	851	879
492	853	877
493	854	875
494	856	873
495	857	871
496	859	869
497	861	867
498	862	866
499	864	864
500	865	862
501	867	860
502	868	858
503	870	856
504	872	854
505	873	853
506	875	851
507	876	849
508	878	847
509	879	845
510	881	843
511	882	841
512	884	839
513	885	837
514	887	835
515	889	834
516	891	832
517	892	830
518	894	828
519	895	826
520	897	824
521	898	823
522	900	821
523	902	819
524	903	817
525	905	815
526	906	813
527	908	811
528	909	810
529	911	808
530	912	806
531	914	804
532	916	802
533	918	801
534	919	799
535	921	797
536	922	795
537	924	793
538	925	791
539	927	790
540	928	788
541	930	786
542	932	784
543	933	782
544	935	780
545	936	778
546	938	776
547	940	775
548	942	773
549	943	771
550	945	770
551	946	768
552	948	766
553	950	765
554	951	763
555	953	761
556	954	759
557	956	757
558	958	755
559	959	754
560	961	752
561	962	750
562	964	748
563	965	746
564	967	744
565	968	742
566	970	740
567	971	739
568	973	737
569	974	735
570	976	733
571	977	731
572	979	729
573	980	727
574	982	725
575	983	724
576	985	722
577	986	720
578	988	718
579	990	716
580	991	715
581	993	713
582	994	711
583	996	709
584	997	707
585	999	706
586	1000	704
587	1002	702
588	1003	700
589	1005	698
590	1007	696
591	1008	695
592	1009	693
593	1011	691
594	1013	689
595	1014	687
596	1016	685
597	1017	684
598	1019	682
599	1020	680
600	1022	678
601	1023	676
602	1025	674
603	1026	673
604	1028	671
605	1029	669
606	1031	667
607	1032	665
608	1034	663
609	1035	662
610	1037	660
611	1038	658
612	1040	656
613	1041	654
614	1043	653
615	1044	651
616	1046	649
617	1047	647
618	1049	645
619	1050	644
620	1052	642
621	1053	640
622	1055	638
623	1057	636
624	1058	635
625	1060	633
626	1061	631
627	1063	629
628	1065	628
629	1066	626
630	1068	624
631	1069	622
632	1071	621
633	1072	619
634	1074	617
635	1075	615
636	1077	613
637	1078	612
638	1080	610
639	1082	608
640	1083	606
641	1085	605
642	1086	603
643	1088	601
644	1089	599
645	1091	598
646	1093	596
647	1094	594
648	1096	592
649	1097	591
650	1099	589
651	1100	587
652	1102	585
653	1103	584
654	1105	582
655	1106	580
656	1108	578
657	1110	576
658	1111	575
659	1112	573
660	1114	571
661	1115	569
662	1117	568
663	1119	566
664	1120	564
665	1121	562
666	1123	560
667	1124	559
668	1126	557
669	1127	555
670	1129	553
671	1130	551
672	1132	550
673	1134	548
674	1135	546
675	1137	545
676	1138	543
677	1140	541
678	1141	539
679	1143	538
680	1144	536
681	1146	534
682	1148	532
683	1149	531
684	1151	529
685	1152	527
686	1154	525
687	1155	524
688	1157	522
689	1158	520
690	1160	518
691	1162	517
692	1163	515
693	1165	513
694	1166	511
695	1168	510
696	1169	508
697	1171	506
698	1172	504
699	1174	503
700	1175	501
701	1177	499
702	1178	498
703	1180	496
704	1181	494
705	1183	492
706	1184	491
707	1186	489
708	1188	487
709	1189	485
710	1191	484
711	1192	482
712	1194	480
713	1195	479
714	1197	477
715	1199	475
716	1200	473
717	1202	472
718	1203	470
719	1205	468
720	1206	466
721	1208	465
722	1209	463
723	1211	461
724	1212	460
725	1214	458
726	1215	456
727	1217	454
728	1218	453
729	1220	451
730	1221	449
731	1223	447
732	1224	446
733	1226	444
734	1228	442
735	1229	441
736	1231	439
737	1232	437
738	1234	435
739	1235	434
740	1237	432
741	1238	430
742	1240	429
743	1241	427
744	1243	425
745	1244	423
746	1246	422
747	1247	420
748	1249	418
749	1250	416
750	1252	415
751	1253	413
752	1255	411
753	1257	410
754	1258	408
755	1260	406
756	1261	405
757	1263	403
758	1264	401
759	1266	399
760	1268	398
761	1269	396
762	1271	394
763	1272	393
764	1274	391
765	1275	389
766	1277	387
767	1278	386
768	1280	384
769	1282	382
770	1283	381
771	1285	379
772	1286	377
773	1288	376
774	1289	374
775	1291	372
776	1292	370
777	1294	369
778	1295	367
779	1297	365
780	1298	364
781	1300	362
782	1301	360
783	1303	359
784	1304	357
785	1306	355
786	1307	353
787	1309	352
788	1310	350
789	1312	348
790	1314	347
791	1315	345
792	1317	343
793	1318	342
794	1320	340
795	1322	338
796	1323	337
797	1325	335
798	1326	333
799	1328	332
800	1329	330
801	1331	328
802	1332	326
803	1334	325
804	1335	323
805	1337	321
806	1339	320
807	1340	318
808	1342	316
809	1343	315
810	1345	313
811	1346	311
812	1348	310
813	1350	308
814	1351	306
815	1353	305
816	1354	303
817	1356	301
818	1357	300
819	1359	298
820	1360	296
821	1362	295
822	1364	293
823	1365	291
824	1367	289
825	1368	288
826	1370	286
827	1371	284
828	1373	283
829	1375	281
830	1376	279
831	1378	278
832	1380	276
833	1381	275
834	1383	273
835	1384	271
836	1386	269
837	1387	268
838	1389	266
839	1391	264
840	1392	263
841	1393	261
842	1395	259
843	1396	258
844	1398	256
845	1399	254
846	1401	253
847	1402	251
848	1404	249
849	1406	248
850	1407	246
851	1410	244
852	1411	243
853	1413	241
854	1415	240
855	1416	238
856	1418	236
857	1420	235
858	1421	233
859	1423	231
860	1424	230
861	1426	228
862	1428	226
863	1429	225
864	1431	223
865	1432	221
866	1434	219
867	1435	218
868	1437	216
869	1438	214
870	1440	213
871	1441	211
872	1443	209
873	1444	208
874	1446	206
875	1447	204
876	1450	203
877	1451	201
878	1453	200
879	1455	198
880	1457	196
881	1458	195
882	1460	193
883	1461	191
884	1463	190
885	1465	188
886	1466	186
887	1468	185
888	1469	183
889	1471	181
890	1472	180
891	1474	178
892	1475	176
893	1477	175
894	1478	173
895	1480	171
896	1482	170
897	1484	168
898	1486	166
899	1487	165
900	1489	163
901	1491	161
902	1492	160
903	1494	158
904	1495	157
905	1497	155
906	1498	153
907	1500	152
908	1502	150
909	1503	148
910	1505	147
911	1506	145
912	1508	143
913	1510	142
914	1511	140
915	1513	138
916	1514	137
917	1516	135
918	1517	133
919	1519	132
920	1521	130
921	1522	128
922	1523	127
923	1525	125
924	1527	123
925	1528	122
926	1530	120
927	1531	118
928	1533	117
929	1534	115
930	1536	113
931	1538	112
932	1539	110
933	1541	108
934	1543	107
935	1544	105
936	1546	103
937	1547	102
938	1549	100
939	1550	98
940	1552	97
941	1553	95
942	1555	94
943	1557	92
944	1558	90
945	1560	89
946	1561	87
947	1563	85
948	1564	84
949	1566	82
950	1568	80
951	1569	79
952	1571	77
953	1572	75
954	1574	74
955	1576	72
956	1577	70
957	1579	69
958	1580	67
959	1582	65
960	1583	64
961	1585	62
962	1586	60
963	1588	59
964	1590	57
965	1591	56
966	1593	54
967	1595	52
968	1596	51
969	1598	49
970	1599	47
971	1601	46
972	1602	44
973	1604	42
974	1605	41
975	1607	39
976	1609	37
977	1610	36
978	1612	34
979	1614	32
980	1617	31
981	1618	29
982	1622	28
983	1623	26
984	1625	24
985	1627	23
986	1628	21
987	1630	19
988	1632	18
989	1633	16
990	1636	14
991	1639	13
992	1641	11
993	1643	9
994	1645	8
995	1647	6
996	1649	4
997	1651	3
998	1654	1
999	1656	0
