kf_job_reference,project_id,property_age,roof_type,walls_construction_type,windows_glazing,property_type,final_floor_insulation_type,final_walls_depth,property_floor_type,roof_insulation_thickness,ashp_survey_total_property_heatloss_w,ashp_survey_total_floor_area_sqm
J-5DAFCA65,a261a89d-6bf8-4964-adb5-774e627c1a31,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_SOLID,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_SINGLE,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_50,HEAT_PUMP_SURVEY_MATERIAL_WALLS_DEPTH_228,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_50,13746,123.9
J-433D8F11,e8421814-4c8a-4061-b90c-ea8ae1c37ae9,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,9053,148.7
J-A44F6E18,e19af1cf-ae2f-4702-8be5-c79d2bdac967,HEAT_PUMP_SURVEY_PROPERTY_AGE_PRE_1960,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,8972,163.3
J-DCF99318,66418729-fdd3-43ee-ba5a-c68f2af4c91c,null,null,null,null,null,null,null,null,null,8640,96.2
J-33780555,f2a65a48-a537-434b-b989-40d1a98f9170,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE_LOW_E,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_100,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,6287,188.8
J-7CB3AC00,bc2e5537-c8cd-476f-ad80-d54d5a208817,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_2000_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_50,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,3189,65.0
J-E4D15B45,a71d7189-cc20-497e-b997-fad94dce341a,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_50,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_200,9319,151.5
J-4D6B55A7,f338ced5-56cc-479f-85ec-a3d6d2f860ef,HEAT_PUMP_SURVEY_PROPERTY_AGE_PRE_1960,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,null,null,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_100,13875,220.8
J-C2A24DE5,62a88eec-c0c2-49ff-bc69-2a46bd489b63,HEAT_PUMP_SURVEY_PROPERTY_AGE_BETWEEN_1960_2000,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,null,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_0,HEAT_PUMP_SURVEY_MATERIAL_WALLS_DEPTH_BETWEEN_290_310,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_CONCRETE_SLAB,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_200,7858,117.7
J-2FF5AC1B,5d947a08-bd4e-43c0-b5f8-a2ebfae5c9f9,HEAT_PUMP_SURVEY_PROPERTY_AGE_POST_2008,HEAT_PUMP_SURVEY_MATERIAL_ROOF_TYPE_PITCHED,HEAT_PUMP_SURVEY_MATERIAL_WALLS_CONSTRUCTION_TYPE_CAVITY,HEAT_PUMP_SURVEY_MATERIAL_WINDOWS_GLAZING_DOUBLE_LOW_E,null,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_INSULATION_100,WALLS_DEPTH_GT_290,HEAT_PUMP_SURVEY_PROPERTY_FLOOR_TYPE_TIMBER_FLOOR,HEAT_PUMP_SURVEY_MATERIAL_ROOF_INSULATION_THICKNESS_300,3547,97.7
